time_rounded,Open,High,Low,Close,Volume
2024-07-13 12:04:45,8.0,8.01,7.99,7.99,988
2024-07-13 12:05:00,7.99,8.01,7.98,8.0,1247
2024-07-13 12:05:15,7.98,8.0,7.98,7.98,552
2024-07-13 12:05:30,7.98,8.0,7.98,8.0,224
2024-07-13 12:05:45,7.98,8.0,7.98,8.0,577
2024-07-13 12:06:00,7.98,8.0,7.98,8.0,995
2024-07-13 12:06:15,7.98,8.0,7.98,7.98,380
2024-07-13 12:06:30,7.98,8.0,7.98,7.98,543
2024-07-13 12:06:45,7.98,8.0,7.98,7.98,572
2024-07-13 12:07:00,7.97,8.0,7.97,7.98,643
2024-07-13 12:07:15,7.98,8.0,7.98,8.0,411
2024-07-13 12:07:30,7.98,8.0,7.97,7.97,1772
